WN;PS;PA;PC;PU;PET;PP;SAN;PVC;PE;POM;ABS
547.44454;0.02709;0.01839;0.0228;0.02202;0.01838;0.00994;0.03223;0.04239;0.01291;0.05466;0.02353
550.19694;0.02671;0.01873;0.02488;0.02217;0.01834;0.00901;0.03209;0.0428;0.01252;0.04171;0.02349
552.94847;0.02661;0.01863;0.02703;0.0218;0.01879;0.00789;0.03171;0.04344;0.01251;0.03353;0.02298
555.69913;0.02634;0.01995;0.02906;0.0224;0.01911;0.00751;0.03123;0.04395;0.01247;0.02901;0.0224
558.4489;0.02614;0.02233;0.03088;0.02101;0.0188;0.00712;0.03062;0.04484;0.01239;0.0255;0.02108
561.19781;0.02564;0.02584;0.03286;0.02131;0.01824;0.00657;0.02998;0.04433;0.01206;0.02309;0.02042
563.94583;0.02499;0.02922;0.03618;0.02176;0.01806;0.00521;0.02925;0.04545;0.01196;0.02179;0.01835
566.69299;0.02469;0.03251;0.03963;0.02283;0.01787;0.00481;0.02851;0.04598;0.01224;0.02058;0.01808
569.43926;0.02395;0.03507;0.04227;0.02427;0.01703;0.00521;0.02776;0.0466;0.01231;0.02017;0.01674
572.18467;0.02368;0.03635;0.04408;0.0265;0.01627;0.00476;0.02716;0.04711;0.01251;0.02011;0.01682
574.92919;0.0233;0.03756;0.04387;0.02996;0.01609;0.00521;0.02672;0.04692;0.01285;0.01945;0.01629
577.67285;0.02286;0.03763;0.04193;0.03215;0.01584;0.00526;0.02636;0.04769;0.01304;0.01894;0.0164
580.41563;0.02256;0.03676;0.03787;0.03327;0.01584;0.00537;0.02625;0.04954;0.01321;0.01935;0.01535
583.15754;0.0224;0.03711;0.03273;0.03472;0.01594;0.00601;0.02635;0.05128;0.01329;0.01915;0.01388
585.89858;0.02246;0.03648;0.0273;0.03614;0.0163;0.00606;0.0262;0.05241;0.01321;0.01863;0.01295
588.63874;0.02236;0.03614;0.02325;0.03792;0.01635;0.00507;0.02523;0.05312;0.01312;0.0182;0.01228
591.37803;0.02253;0.03653;0.02136;0.0394;0.01711;0.00454;0.02383;0.05318;0.01294;0.01847;0.01229
594.11645;0.02192;0.03768;0.02074;0.04126;0.0174;0.00468;0.02361;0.05498;0.01299;0.01875;0.01295
596.854;0.02048;0.0379;0.02072;0.04485;0.0175;0.00523;0.02606;0.06037;0.01298;0.01861;0.01311
599.59068;0.022;0.03839;0.02096;0.04851;0.01718;0.00534;0.03192;0.0655;0.01302;0.01854;0.01375
602.32649;0.03226;0.03866;0.02108;0.05287;0.01728;0.00549;0.04096;0.07749;0.01328;0.01884;0.01392
605.06143;0.04998;0.03782;0.02102;0.0541;0.01604;0.00538;0.05227;0.09763;0.01339;0.01831;0.01914
607.79549;0.06815;0.03659;0.02071;0.05431;0.01308;0.00527;0.06418;0.12219;0.01374;0.01901;0.03107
610.52869;0.08149;0.03614;0.02046;0.05268;0.01284;0.00476;0.07411;0.14961;0.01393;0.0196;0.04622
613.26102;0.0878;0.03456;0.02063;0.05004;0.02803;0.00419;0.07886;0.17859;0.01362;0.02054;0.0595
